Piece Title,Publisher/Library,Exclusive / Non Exclusive,Publishers Split,Writers Split,Master Owner,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Sounds like,Overall Quality,Has TV Usage,Has Stock Music Sales,Usage: Syncs and Dates,Soundcloud Link,Data Complete,Notes,,,
Tide,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A peaceful but unsettled synth ambiance with a lot of sound design,120,B,4/4,Aeolian,6:10,"Synth, Synth Pad, Synth Bass, Sound Effects","Ocean, Surf, Meditation, Meditative, Ambient, Healing, New Age, Ambiance, Documentary, Nature, Desert, Mountains, Swells, Sound effects","Chill, Dark, Epic, Meditative, Moody","Documentary, Sci-Fi, Horror, Crime, Drama",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165581307%3Fsecret_token%3Ds-a3TT7x0jzpL&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/tide/s-a3TT7x0jzpL"" title=""Tide"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Tide</a></div>",checked,,,,
To Cross the Night,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",,,,4/4,Aeolian,3:12,"Synth, Synth Pad, Synth Bass, Sound Effects",,,"Documentary, Sci-Fi, Horror, Crime, Drama",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165587109%3Fsecret_token%3Ds-gCGbeYudvO4&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/to-cross-the-night/s-gCGbeYudvO4"" title=""To Cross The Night"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">To Cross The Night</a></div>",checked,,,,
Bone Song,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A sparkling and energetic synth ambience,120,Gm,4/4,Aeolian,4:42,"Synth, Synth Bass, Sound Effects","Nature, fishes, sparkles, sparkling, action, motion, coral reef, natural","Excited, Chill, Caffeinated","Documentary, Drama",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165582021%3Fsecret_token%3Ds-ZIdwfvi4e8Y&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/bone-song-5/s-ZIdwfvi4e8Y"" title=""Bone Song"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Bone Song</a></div>",checked,,,,
Sea Light,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","A peacful, joyful, and multilayered layered chordal synth ambiance",120,D,4/4,Ionian,2:47,"Synth, Synth Bass, Sound Effects","Sunrise, Peace, Light, Choir, Coming Home, Realization, Quiet, Relaxed, Ocean, Sea, Beach, Nature, Documentary, Morning, Waking up, Drone, Ambience, Ambient","Chill, Joyful, Happy, Meditative, Relaxed, Positive","Romance, Drama, Teen, Documentary",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165583782%3Fsecret_token%3Ds-MxXDMkxTjUV&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/sea-light/s-MxXDMkxTjUV"" title=""Sea Light"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Sea Light</a></div>",checked,,,,
Here Still,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A meditative and sparkling synth drone ambiance,111,Cm,4/4,Aeolian,5:05,"Synthesizer, Sound Effects","Meditation, new age, drone, meditate, nature, documentary, water, drips, synth, echo, symbolic, trance, sleepy, ambient, ambiance","Meditative, Chill, Relaxed, ","Drama, Romance, Documentary, Sci-fi",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166768482%3Fsecret_token%3Ds-aCJaarmeBqR&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/here-still-1/s-aCJaarmeBqR"" title=""Here Still"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Here Still</a></div>",checked,,,,
Premonition,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A birdcall infused drone synth ambiance,120,Cm,4/4,Aeolian,6:56,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, gritty, birds, birdcalls, space station, hollow, coins, money, ambient, ambiance","Meditative, Tense, Intense","Sci-fi, Documentary, Builds, Crime, Drama",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166833849%3Fsecret_token%3Ds-ziPnux8t8Tc&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/premonition/s-ziPnux8t8Tc"" title=""Premonition"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Premonition</a></div>",checked,,,,
Bees and Caffeine,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,EDM,"A zippy, uplifting, and happy indie-electronica tune.",86,Eb,4/4,Ionian,1:16,"Synth, Synth Bass, elec. drums","Indie, independent, chimes, chaotic, bouncy, bright, cheerful happy, fun, happy, hopeful, joyful, lively, magical, playful, positive, uplifting, video game, Electronica, Charli, British, energetic, upbeat, Cheerful, spazzy","Happy, Uplifting, Cheerful","Commercial, Romance",?,1,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166794498%3Fsecret_token%3Ds-3TBpa2YA9xC&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/bees-and-caffeine-full-1/s-3TBpa2YA9xC"" title=""Bees And Caffeine (FULL)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Bees And Caffeine (FULL)</a></div>",checked,,,,
Timewaster,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,EDM,Fun Synth and piano tune.,112,Dm,4/4,Aeolian,2:16,"Elec. Drums, Synth, Synth bass, Piano","tropical, piano, synth, lead, melody, underscore, cheap, quick, pop, pop music, groove, thrills, synthesizer, chill, youtube, instagram, tiktok, tik tok, uplifting, bouncy, calm, casual, every day, cheerful happy, easy, fun, happy, joyful, light, optimistic, positive, soft, video game","Annoying, chill, fun, happy",Commercial,?,1,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166713726%3Fsecret_token%3Ds-zh7AbWNzC2s&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/timewaster/s-zh7AbWNzC2s"" title=""Timewaster"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Timewaster</a></div>",checked,,,,
Block Buggit,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Bass Music",A speedy dubstep influenced Bass-music track featuring wobble synths,150,Cm,4/4,Aeolian,1:17,"Synth Bass, Synth, Elec. Drums","Wobble, Dubstep, Bass Music, Video game, Fox Stevenson, Commercial, Future, Futurebass, Future House","Driving, Intense, Futuristic, aggressive, energetic, excited, fun, powerful","Action, Commercial, Club, chase/fight, Sci-fi",Fox Stevenson,2,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166796076%3Fsecret_token%3Ds-XjcX0knCtrU&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/block-buggit-1/s-XjcX0knCtrU"" title=""Block Buggit"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Block Buggit</a></div>",checked,,,,
Firebird,ON HOLD WAITING FOR DANIELLE,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Deep House",A deep-house influenced pop song,,Cm,4/4,Aeolian,3:35,"Synth, Bass, Kalimba, Mbira, Female Vox","Moody, romantic, sexy, deep, dark, deep house, house music, ","Sexy, moody, ",,?,5,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166830876%3Fsecret_token%3Ds-8C2oDmIYltL&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/firebird-by-daniko/s-8C2oDmIYltL"" title=""Firebird By DaNiko"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Firebird By DaNiko</a></div>",,ON HOLD WAITING FOR DANIELLE,,,
Cosmic Information Party,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Electronic","Cheerful, cute, melodic low budget electronic music",140,C,4/4,Ionian,2:20,"Synth, elec. drums, synth bass","Childish, Owl City, melodic, cheerful, cute, bubbly, video game, casual game, gamer","Happy, Uplifting, cheerful",Videogame,?,1,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166717194%3Fsecret_token%3Ds-YTK0ecjF3DH&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/cosmic-information-party/s-YTK0ecjF3DH"" title=""Cosmic Information Party"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Cosmic Information Party</a></div>",checked,,,,
Going Up,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Electronica","Featuring heavily processed orchestral and vocal samples, this modern hiphop/edm beat is spacy and unique",95,Am,4/4,Aeolian,2:26,"Synthesizer, Samples, Orchestra, Synth Bass, Wobble Bass","Commercial, Modern, Hip hop, EDM, Club, Driving at night, Driving, Pop Beat, Squirrel Vocals, Smoking, Smoky","Relaxed, Mysterious, Dark, Cool, Sexy, Romantic, Sultry","Commercial, Teen, Romance, Sci-fi, Drama, Video Game, ",?,3,,,-,,checked,,,,
Chocolate Chip Cookie Dough,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Electronica",An upbeat and sparkly EDM beat reminiscent of a futuristic ice cream truck.,115,Cm,4/4,Aeolian,2:29,"Elec. Drums, Synth Bass, Synth, Synth Lead, Glockenspiel","Ice cream, Ice cream truck, magic, toys, playful, shopping, futurebass, wobble, coffee shop, toy factory","Bouncy, Cool, Fun, Happy, Joyful, Light, Uplifting, Sweet, Playful, Cheerful","Teen, Romance, Commercial","Owl City, Kygo",3,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166829235%3Fsecret_token%3Ds-LgCpFMJaQqT&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/chocolate-chip-cookie-doughm/s-LgCpFMJaQqT"" title=""Chocolate Chip Cookie Dough"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Chocolate Chip Cookie Dough</a></div>",checked,,,,
Tourmaline,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Hyperpop",Upbeat indie electronic pop tune,92,Ebm,4/4,Aeolian,1:43,"Elec. Drums, Synth, Synth Bass","indie, boys, upbeat, electronic, pop, electronica, PC, Music, videogame, uplifting, cheerful, sweet, cheerful happy, bouncy, calm, fun, happy, joyful, light, playful, positive, video game, drum machine, synthesiser, electric piano, friendly, cute, electronica","Happy, Nostalgic, ","Reality, Teen, romance",?,3,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166776804%3Fsecret_token%3Ds-EQihbLjfQl1&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/tourmaline1/s-EQihbLjfQl1"" title=""Tourmaline"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Tourmaline</a></div>",checked,,,,
Busy Bee,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Indie",Bubbly and cute bell driven corporate or youtube underscore.,87,C,4/4,Ionian,2:43,"Drums, Bells, Marimba, Synth, Synth Bass","Busy, Manic, Caffeinated, Upbeat, Cheerful, Working, Cleaning, Spring Cleaning, cleaning house, Active","Active, Cheerful, Busy, Happy",Commercial,?,2,,,-,,checked,,,,
Bright and Shiny,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Pop",A cheerful synthpop bed,65,Eb,4/4,Ionian,2:46,"Elec. Drums, Synth, Synth Pad, Synth lead","Cheerful, Uplifting, Low-budget, EDM, repetitive, slow, confident","Confident, Solid, Happy, Hopeful","Romance, Reality, Drama","Kygo, Hardwell",2,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166803525%3Fsecret_token%3Ds-biSBdkhV17V&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/bright-shiny-1/s-biSBdkhV17V"" title=""Bright &amp; Shiny"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Bright &amp; Shiny</a></div>",checked,,,,
Reliable Contact,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Score, Action","Hybrid EDM / Action type score, featuring sounds inspired by cop or spy shows from the 1980s, with a modern spin",125,Cm,4/4,Aeolian,2:24,"Elec Drums, Synth Bass, Synth, Synth Pad,","Dance, Chase, Chase Scene, Drug Dealing, Spies, Spy, Synth Bass, New Wave, Spying, Club, Disco, Discotheque Detective, Investigator, Investigation, Secret Agent, Operation, Operative, 1980s, 1980, EDM, Electronic Dance Music, Electronic, 80s","Sneaky, Dark, Moody, Mysterious, Resolute, Driving, Determined, Powerful, ","Action, Chase/Fight, Crime, Drama, Retro, Elimination, Game Show, Video Game, Sci-Fi",?,2,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166799145%3Fsecret_token%3Ds-8XXNn1aZ0hh&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/reliable-contact-1/s-8XXNn1aZ0hh"" title=""Reliable Contact"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Reliable Contact</a></div>",checked,,,,
Stellate,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Trance, Happy Hardcore",A fast-tempo happy-hardcore or uplifting trance track,170,Gm,4/4,Aeolian,4:48,"Synth, Synth Bass, Elec. Drums","Rave, Trance, Party, Uplifting, Driving, Party, Car Commercial, Retro, Raver, Video Game, Gamer, Games  ","Driving, Cheerful, Energetic, Excited, Happy, Playful, Positive","Teen, Commercial, Romance, Drama, Sci-fi",ATB,1,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166826727%3Fsecret_token%3Ds-bnRlqQJdwXS&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/stellate/s-bnRlqQJdwXS"" title=""Stellate"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Stellate</a></div>",checked,,,,
Imagine Ecuador,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Tropical House",A Sweet and cheerful tropical house tune ready for the beach,115,G,4/4,Ionian,1:38,"Synth, Synth Bass, Elec Drums, Xylophone, Percussion, Synth Flute","tropicalhouse, deephouse, housemusic, dj, progressivehouse, tropical, edm, futurehouse, house, tropicalvibes, kygo, electronicmusic, architecture, kygomusic, reggaemusic, newmusic, hardstyle, nudisco, dj, dubstep, trance, techhouse, homedecor, dancemusic, techno, producer, interiordesign, interior, design, kygo, cheerful,, tropical, island, beach, sunset, reef, coral, ecuador, waves, ocean, sea, dolphin, scuba diving, snorkeling, submarine, kayak, kayaking, surfing, freedom, stunnas, sunglasses, shades, cabana, tiki, gecko, lizard, parrot, parrots, island, hawaii, caribbean, south pacific , temptation island, temptation, paradise, volcano, parasailing, paragliding, hang gliding, margarita","carefree, cheerful, fun, happy, joyful, carefree, adventurous","Romance, Romantic Comedy, Teen, Drama",Kygo,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1166830294%3Fsecret_token%3Ds-apFSzT16LsM&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/imagine-ecuador-full-3/s-apFSzT16LsM"" title=""Imagine Ecuador - FULL"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Imagine Ecuador - FULL</a></div>",checked,,,,
