Piece Title,Publisher/Library,Exclusive / Non Exclusive,Publishers Split,Writers Split,Master Owner,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Sounds like,Overall Quality,Has TV Usage,Has Stock Music Sales,Usage: Syncs and Dates,Soundcloud Link,Data Complete,Notes
Labyrinth,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Chiptune, Videogame","High energy, high speed retro chiptune style piece ",140,Em,4/4,Aeolian,3:48,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss","Moody, videogamey, sad",Video game,?,3,,,-,,checked,From video game project System Protocol One
Retrofunk,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Chiptune, Videogame",Funky retro chiptune piece with a dope bassline,112,Bm,4/4,Dorian,2:49,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss, funk, funky","Funky, driving, videogame",Video game,?,3,,,-,,checked,From video game project System Protocol One
You Are Victorious,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Chiptune, Videogame","High energy and ecstatic, happy retro chiptune style piece",150,D,4/4,Ionian,2:03,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss, funk, funky","Ecstatic, uplifting, cheerful",Video game,?,3,,,-,,checked,From video game project System Protocol One
Christmas Candy,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Christmas,A sweet and comforting tune featuring celeste and strings,103,Eb,4/4,Ionian,0:59,"Strings, Celeste, Bells","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown, candy, romance, christmas eve, Sleigh,","Cheerful, Happy, Sentimental, Nostalgic, Hopeful, Inspirational, Relaxing, Romantic, Whimsical","Holiday, Commercial, Special Occasion, Animation, Romance",?,3,,,-,,checked,
Vivaldi Summer Presto,Atrium,Non-Exclusive - Contact Niko for licensing,Music from the Atrium 100%,Nikolas Korolog 100%,Music from the Atrium,"Classical, Score",Sampled arrangement of Vivaldi's Summer,150,Am,3/4,Aeolian,2:41,"String Section, Violin, Viola, Cello, Bass","Classical, classy, cheerful, upbeat, nature, traditional, vivaldi, antonion","zippy, fast, cheerful, upbeat","commercial, epic",?,4,,,-,,checked,
Spider Dance,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Comedy Quirky,"Videogamey, sneaky and dorky theme",78,Bm,2/4,Aeolian,0:58,"Orchestra, Flute, Horn, Strings, Marimba","Silly, sneaky, cute, strawberry shortcake, cheerful, puzzle, video game, puzzle game","Sneaky, quirky, silly, comedy, fun, funny","Video game, animation",?,2,,,-,,checked,
An Aberration,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Comedy Quirky,Dorky and quirky underscore or commercial piece,120,Cm,4/4,Aeolian,1:14,"Bass Clarinet, Strings, Violin, Percussion, Marimba","Quirky, sneaky, silly, spooky, halloween, cute, funny, depressed, drug commercial, antidepressant, drug, commercial, insurance, cleaning products, advertisement, ad, bass clarinet, costume, fun, acoustic","quirky, creepy, fun, laid-back, fun, festive, mysterious, silly","special occasion, comedy, commercial",,3,,,-,,checked,
Herpy Derpy Halloween,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Comedy Quirky, Halloween","Brass driven, oom-pa quirky halloween track",55,Cm,4/4,Aeolian,1:20,"Tuba, Horns, Strings, Violin, Oboe","Halloween, dorky, silly, comedy / quirky, ghosts, goblins, pumpkin, omenous, joke, fun, funny","Spooky, Dorky, Halloween","Commercial, Reality",,3,,,-,,checked,
Shopping Spree,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Corporate,Generic piano-driven commercial / corporate tune,115,D,4/4,Ionian,1:45,"Piano, Drums, Celeste","Corporate, generic, piano, rock, shopping, boring, bland, everyday, ","Everyday, bland, content, happy","Commercial, Corporate",,2,,,-,,checked,
Keynote,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Corporate,Piano driven generic corporate track,108,Eb,4/4,Mixolydian,1:06,"Piano, Horn, Strings","Corporate, keynote, introduction, presentation, speech, corporation, commercial, innovative, innovation","Inspiring, Inspirational, Uplifting",Corporate,,2,,,-,,checked,
Divine Mission,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Corporate, ","Corporate, TV commercial background music with a cello lead",101,Cm,4/4,Aeolian,2:27,"Strings, Orchestra, Piano, Cello, elec drums","Corporate, Innovative, Insprational, motoric, motion, inspiration, cello, melody, car, lexus, luxury, suv, luxurious, premium, commercial, ad, advertisement, medical, drug, medication, ","building, confident, cool, driving, energetic, epic, exciting, smooth, inspirational","broadcast/news, builds, talk show, commercial, drama",Car Commercial,3,,,-,,checked,
Entrance Japan Dreaming,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",This drone track features buddhist chant and spacious synthesizer drones,120,Fm,4/4,Aeolian,3:22,"Synth, Synth Bass, Male Vocals, Sound Effects","Dark, Contemplative, Calm, Creepy, Magical, Mysterious, Serious, Suspenseful, Thoughtful, Storm, Temple, Chant, Buddhist, Bells, Religious, Documentary, Nature, Buddhism, Sanctuary, Lost at sea","Dark, Contemplative, Calm, Creepy, Magical, Mysterious, Serious, Suspenseful, Thoughtful","Broadcast, News, Documentary, Crime",David Arkenstone,3,,,-,,checked,
Mountain Passage,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A a deep and icy synth drone ambiance,108,B,4/4,Ionian,6:48,Synth Sound Effects,"Meditation, new age, drone, meditate, nature, documentary, windy, wind, reverb, throat singing, synth, ambient, ambiance","Meditative, Chill, Ominous, Dark, Relaxed","Drama, Romance, Documentary, Crime",?,4,,,-,,checked,
Night Passage 1,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A deep blue synth ambiance ,88,Dm,4/4,Aeolian,4:27,"Synth, Synth bass, Sound Effects","Lonesome, Night, Dark, Spooky, Peaceful, Nature, Documentary, Lonely, Spacy, Sci-Fi, Ambient, Ambience, Return of the King, Lord of the rings","Melancholy, Chill, Dark, Meditative, Moody, Relaxed","Documentary, Drama, Romance, Horror, Crime",?,4,,,-,,checked,
Night Passage 2,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A dark and spacy synth drone ambiance,105,C#m,4/4,Aeolian,4:17,Synth Sound Effects,"Meditation, new age, drone, meditate, nature, documentary, well, darkness, demons, posessed, aliens, ambient, ambiance","Ominous, Meditative, Dark, Spooky","Drama, Romance, Documentary, Crime, Sci-Fi",?,4,,,-,,checked,
Night Passage 3,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","A spacy and synth driven ambience with delayed plucks, evocative of a city at night.",123,Ebm,4/4,Aeolian,5:34,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, cityscape, darkness, streetlights, reverb, ethereal, sparkly, ambient, ambiance ","Meditative, Chill, Relaxed","Documentary, Romance, Romantic Comedy, Crime",?,4,,,-,,checked,
Ritual,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A meditative and relacing ambiance featuring pentatonic wind chimes,120,Ebm,4/4,Aeolian,3:50,"Wind Chimes, Synth, Synth Pad, Percussion","Meditation, New Age, Meditate, Meditating, Flute, Nature, Wilderness, Cold, Snow, Crystals, Chakras, Healing, Drone, Ambiance, Ambient","Meditative, Chill, Relaxed, Positive","Documentary, Romance, Drama, Crime",?,4,,,-,,checked,
Sky Passage 2,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 50%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","A spacy, ethereal, sound design infused synth drone piece",106,C,4/4,Ionian,6:38,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, desert, jungle, island, ambiance, ambient, birds, crows,","Meditative, eerie, positive, dark","Sci-fi, Documentary, Crime,Drama",?,4,,,-,,,
Sky Passage 1,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 50%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",Sound Designy ambient drone piece,53,C,4/4,Ionian,6:20,"Synthesizer, Sound Effects","crime, sound design, paper, tearing paper, drone, ambiance, ambience, ambient, ambiant, droning, heat, desert, middle east, meditate, meditation, concrete, documentary, score, dark, moody, creepy, spooky, phrygian, nature, natural, morning, desolate, deserted, texture, ","chill, dark, gloomy, mysterious, ominous, suspenseful, dark, lethargic","documentary, drama, crime, romance",?,4,,,-,,checked,
Sea Passage,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","A peaceful, lonely ambiance inspired by crossing the sea",120,Ab,4/4,Ionian,6:36,"Synth, Synth Pad, Synth Bass, Sound Effects","Lonely, Peaceful, Nature, Documentary, Ocean, Spacy, Trippy, Aquarium, Drone, Serenity, Crystals, Peace, New Age","Chill, Joyful, Happy, Meditative, Relaxed, Positive","Romance, Drama, Teen, Documentary",?,4,,,-,,checked,
Sendai,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A sparse and deeply meditative ambient piece featuring intermittant singing bowl hits.,120,Ebm,4/4,Aeolian,5:16,"Percussion, Synth Bass, Sound Effects","Meditation, Buddhism, Buddhist, Buddha, Crystals, New Age, Healing, Ambience, Ambient, Drone, Temple, Meditate, Documentary, solitary, lonely, tragedy","Chill, Dark, Meditative, Positive, Relaxed","Documentary, Romance, Drama",?,4,,,-,,checked,
Spirit Gate,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","An ambient, drone-driven score featuring processed recordings of nature sounds",120,C,4/4,Ionian,5:42,"Synth, Synth Flute, Synth Organ, Organ, Sound Design","Nature, Wolves, Spiders, Morning, Sunrise, Wilderness, Waking Up, Birds, Coyotes","Chill, Ambient, Ambience, Eerie, Lonely, Meditative, Mellow, Peaceful, Reflective, Mellow, Pensive","Documentary, Romance",?,4,,,-,,checked,
Spirit Passage,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","An ambient, drone-driven score featuring processed recordings of nature sounds",116,Ebm,4/4,Aeolian,5:46,"Synth Organ, Wind Chimes, Synth, Sound Design","Nature, Wolves, Spiders, Morning, Sunrise, Wilderness, Waking Up, Birds, Steam Engine, Train","Chill, Ambient, Ambience, Eerie, Lonely, Meditative, Mellow, Peaceful, Reflective, Mellow, Pensive","Documentary, Romance",?,4,,,-,,checked,
Spring - Japan Dreaming 16,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",An idyllic and meditative ambiance featuring processed birdcalls and synths,120,Cm,4/4,Aeolian,2:40,"Sound Effects, Synth, Synth Bass","Morning, Springtime, Art Exhibit, Birds, Birdcalls, Peaceful, Spring, Nature, Documentary, Ambient, Ambiance, Drone, Abstract, Idyllic, Relaxing, Mountains, Countryside","Chill, Joyful, Meditative, Moody, Positive, Relaxed, Melancholy","Documentary, Drama, Romance, Crime, ",?,4,,,-,,checked,
Sun Passage,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A whooshing and spacy ambient drone inspired by the glare of the sun on a hot day,140,Ebm,4/4,Aeolian,3:22,"Synth Bass, Sound Effects","Sun, Hot, Summer, Burning, Deep, Drone, Ambiance, Ambient, Meditative, Meditation, Documentary, Nature, Sizzling, Sizzle, Desolate, Isolated, Desert, Bacon, Frying","Dark, Meditative, Resolute, Tense","Documentary, Crime, Drama, Builds, Military, Action",?,4,,,-,,checked,
Tidal Wave,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","Synth Bass, Sound Effects",120,Cm,4/4,Aeolian,4:22,"Synth Bass, Sound Effects","Building, Destruction, Disturbing, Scary, Imminent, Disaster, Doom, Terror, Tsunami, Documentary, Nature, Fury","Exciting, Fearful, Dark, Dangerous, Epic, Tense, Tragic","Sci-fi, Horror, Documentary, Crime, Drama",?,4,,checked,-,,checked,
To Cross the Water,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","An idyllic, spacy, peaceful sci-fi type ambience",99,Eb,4/4,Aeolian,4:51,"Synth, Synth Pad, Synth Bass, Synth Flute, Flute","Boats, Ocean, Starship, Desolation, Space, Spacy, Lonely, Spaceship, Technology, Sailing, Nature, Meditation, Meditative, Ambience, Ambient, Drone","Peaceful, Chill, Meditative, Moody, Relaxed","Documentary, Sci-Fi, Drama, Romance, Teen",?,4,,,-,,checked,
Tide,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A peaceful but unsettled synth ambiance with a lot of sound design,120,B,4/4,Aeolian,6:10,"Synth, Synth Pad, Synth Bass, Sound Effects","Ocean, Surf, Meditation, Meditative, Ambient, Healing, New Age, Ambiance, Documentary, Nature, Desert, Mountains, Swells, Sound effects","Chill, Dark, Epic, Meditative, Moody","Documentary, Sci-Fi, Horror, Crime, Drama",?,4,,,-,,checked,
To Cross the Night,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",,,,4/4,Aeolian,3:12,"Synth, Synth Pad, Synth Bass, Sound Effects",,,"Documentary, Sci-Fi, Horror, Crime, Drama",?,4,,,-,,checked,
Bone Song,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A sparkling and energetic synth ambience,,,4/4,Ionian,4:42,"Synth, Synth Bass, Sound Effects","Nature, fishes, sparkles, sparkling, action, motion, coral reef, natural","Excited, Chill, Caffeinated","Documentary, Drama",?,4,,,-,,,
Sea Light,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient","A peacful, joyful, and multilayered layered chordal synth ambiance",120,D,4/4,Ionian,2:47,"Synth, Synth Bass, Sound Effects","Sunrise, Peace, Light, Choir, Coming Home, Realization, Quiet, Relaxed, Ocean, Sea, Beach, Nature, Documentary, Morning, Waking up, Drone, Ambience, Ambient","Chill, Joyful, Happy, Meditative, Relaxed, Positive","Romance, Drama, Teen, Documentary",?,4,,,-,,checked,
Here Still,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A meditative and sparkling synth drone ambiance,111,Cm,4/4,Aeolian,5:05,"Synthesizer, Sound Effects","Meditation, new age, drone, meditate, nature, documentary, water, drips, synth, echo, symbolic, trance, sleepy, ambient, ambiance","Meditative, Chill, Relaxed, ","Drama, Romance, Documentary, Sci-fi",?,4,,,-,,checked,
Premonition,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Drone, Ambient",A birdcall infused drone synth ambiance,120,Cm,4/4,Aeolian,6:56,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, gritty, birds, birdcalls, space station, hollow, coins, money, ambient, ambiance","Meditative, Tense, Intense","Sci-fi, Documentary, Builds, Crime, Drama",?,4,,,-,,checked,
Raindrops Don't Seem Quite Right,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,EDM,Experimental,,,,,,,,,,?,1,,,-,,,Another terrible demo. Forget it...
Bees and Caffeine,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,EDM,"A zippy, uplifting, and happy indie-electronica tune.",86,Eb,4/4,Ionian,1:16,"Synth, Synth Bass, elec. drums","Indie, independent, chimes, chaotic, bouncy, bright, cheerful happy, fun, happy, hopeful, joyful, lively, magical, playful, positive, uplifting, video game, Electronica, Charli, British, energetic, upbeat, Cheerful, spazzy","Happy, Uplifting, Cheerful","Commercial, Romance",?,1,,,-,,checked,
Timewaster,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,EDM,Fun Synth and piano tune.,112,Dm,4/4,Aeolian,2:16,"Elec. Drums, Synth, Synth bass, Piano","tropical, piano, synth, lead, melody, underscore, cheap, quick, pop, pop music, groove, thrills, synthesizer, chill, youtube, instagram, tiktok, tik tok, uplifting, bouncy, calm, casual, every day, cheerful happy, easy, fun, happy, joyful, light, optimistic, positive, soft, video game","Annoying, chill, fun, happy",Commercial,?,1,,,-,,checked,
Block Buggit,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Bass Music",A speedy dubstep influenced Bass-music track featuring wobble synths,150,Cm,4/4,Aeolian,1:17,"Synth Bass, Synth, Elec. Drums","Wobble, Dubstep, Bass Music, Video game, Fox Stevenson, Commercial, Future, Futurebass, Future House","Driving, Intense, Futuristic, aggressive, energetic, excited, fun, powerful","Action, Commercial, Club, chase/fight, Sci-fi",Fox Stevenson,2,,,-,,checked,
Firebird,ON HOLD WAITING FOR DANIELLE,Non-Exclusive - Contact Niko for licensing,,,,"EDM, Deep House",,,,4/4,Aeolian,3:35,,,,,?,5,,,-,,,ON HOLD WAITING FOR DANIELLE
Cosmic Information Party,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Electronic","Cheerful, cute, melodic low budget electronic music",140,C,4/4,Ionian,2:20,"Synth, elec. drums, synth bass","Childish, Owl City, melodic, cheerful, cute, bubbly, video game, casual game, gamer","Happy, Uplifting, cheerful",Videogame,?,1,,,-,,checked,
